//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;Коэффициент заполнения ШИМ (чтение)@2;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW199;A7_1
;Коэффициент заполнения ШИМ (чтение)@3;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW200;A7_1
;Коэффициент заполнения ШИМ (чтение)@4;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW201;A7_1
;Коэффициент заполнения ШИМ (чтение)@5;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW202;A7_1
;Коэффициент заполнения ШИМ (чтение)@6;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW203;A7_1
;Коэффициент заполнения ШИМ (чтение)@7;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW204;A7_1
;Коэффициент заполнения ШИМ (чтение)@8;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW205;A7_1
;Коэффициент заполнения ШИМ (чтение)@9;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW206;A7_1
;Коэффициент заполнения ШИМ (чтение)@10;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW207;A7_1
;Коэффициент заполнения ШИМ (чтение)@11;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW208;A7_1
;Коэффициент заполнения ШИМ (чтение)@12;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW209;A7_1
;Коэффициент заполнения ШИМ (чтение)@13;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW210;A7_1
;Коэффициент заполнения ШИМ (чтение)@14;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW211;A7_1
;Коэффициент заполнения ШИМ (чтение)@15;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW212;A7_1
Application.IO.A7_16DO_Out_1_FillFactor_M4_Bypass_Write_1;Коэффициент заполнения ШИМ (запись);;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW145;A7_1
Application.IO.A7_16DO_Out_2_FillFactor_M5_Pump_Write_1;Коэффициент заполнения ШИМ (запись)@1;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW146;A7_1
;Коэффициент заполнения ШИМ (запись)@2;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW147;A7_1
;Коэффициент заполнения ШИМ (запись)@3;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW148;A7_1
;Коэффициент заполнения ШИМ (запись)@4;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW149;A7_1
;Коэффициент заполнения ШИМ (запись)@5;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW150;A7_1
;Коэффициент заполнения ШИМ (запись)@6;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW151;A7_1
;Коэффициент заполнения ШИМ (запись)@7;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW152;A7_1
;Коэффициент заполнения ШИМ (запись)@8;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW153;A7_1
;Коэффициент заполнения ШИМ (запись)@9;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW154;A7_1
;Коэффициент заполнения ШИМ (запись)@10;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW155;A7_1
;Коэффициент заполнения ШИМ (запись)@11;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW156;A7_1
;Коэффициент заполнения ШИМ (запись)@12;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW157;A7_1
;Коэффициент заполнения ШИМ (запись)@13;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW158;A7_1
